;compras@italinea.com.br;(54) 3455.5100;;Bento Gonçalves;;;;;;
;maico@madesa.com;51 - 35348000;;Bom Princípio;;;;95765-000;RS;
;compras@moveisthb.com.br;51 3671-7800;;Distrito Industrial Camaquã;Rua Augusto Blanchardt da Silveira;300;;96180-000;RS;
;;(51) 3692-1347;;Camaquã;Rua Aylton Ulguim Campos;1837;;;;
;compras@calbras.net.br;51 35811644;;Industrial Norte
Campo Bom;Avenida dos Municípios;1305;;93700-000;RS;
;ale@multiformas.ind.br;51 3598 2122 / 3597 4166;;Campo Bom;R. João Lampert;320;;93700-000;RS,;
;carla.siebel@fcc.com.br;51 2129-2200;;Campo Bom;Rua Paineira;20;;;;
;compras@rigabona.com.br;(51) 3585.1500;;Campo Bom;Rua São Paulo;101;;;;
;;(53) 3245.5100 ;;Candiota ;;;;;;
;desireecpoa@gmail.com;;;Canoas;;;;;;
;tuanigomes@yahoo.com.br;;;Canoas;;;;;;
;evargas@essencis.com.br;(51) 3500-3400;;Capela de Santana;;;;95745-000;RS,;
;silvano.tondello@marcopolo.com.br; (54) 2101 - 4155 ;;Caxias do Sul;;;;;;
;rgsilva@essencis.com.br;(41) 3614-3050;;R. dos Palmenses 620 - São Miguel, Curitiba - PR,;R. dos Palmenses;620;;81452-010;PR,;
;marcio.nonenmacher@taqi.com.br;(51) 3564 8300;;Dois Irmãos;;;;;;
;cornelli.sabrina@mahindrabrazil.com;(51) 3191-2020;;Dois Irmãos;Av. Dez de Setembro;1097;;93950-000;RS,;
;glaucia@comilonibus.com.br;54 3520-8700;;Erechim;Rua Alberto Parenti;1382;;99706-404;;
;suprimentos.cai@essencis.com.br;(11) 4442-7300;;Franco da Rocha;;;;07803-970;SP,;
;suprimentos@bortolini.com.br;(54) 3433-2500;;Garibaldi;;;;;;
;rodrigo.avila@thyssenkrupp.com;;;GUAÍBA;;;;;;
;ccwicienski@piccadilly.com.br;(51) 3549-9600;;R. Gen. Ernesto Dorneles 577 - Centro, Igrejinha - RS,;R. Gen. Ernesto Dorneles;577;;95650-000;RS,;
;comprasfaccine@gmail.com;(51) 3545-1396;;Igrejinha;Rua Taquara;166;;;;
;compras@andrina.com.br;51 3545-1821;;AvIldo Menegheti, 860 / Igrejinha - RS - Brasil;;;;;RS;
;fernando@usaflex.com.br;(51) 3549-8100;;R. Mal. Deodoro da Fonseca 530 - Casa de Pedra, Igrejinha - RS,;R. Mal. Deodoro da Fonseca;530;;95650-000;RS,;
;hunssemaq@uol.com.br;(51) 3545-1200;;R. Igrejinha 105 - Figueira, Igrejinha - RS,;R. Igrejinha;105;;95650-000;RS,;
;compras@injepar.com.br;51 3545.2465;;RuaGetúlio Vargas, 348 - Centro - Igrejinha/RS - ;Rua Getúlio Vargas;348;;95650 000;/RS;
;oficina@tabita.com.br;(51) 3545-1600;;R. Benjamin Jung 195 - Viaduto, Igrejinha - RS,;R. Benjamin Jung;195;;95650-000;RS,;
;custos@carminacalcados.com.br;(51) 3545-3117;;De Novembro Igrejinha;;;;95650-000;RS,;
;compras@agrolatina.com.br;51 3549 9400;;Estr. Picada Francesa 950 - Casa de Pedra, Igrejinha - RS,;Estr. Picada Francesa;950;;95650-000;RS,;
;eduardo@frohlich.com.br;(51) 2123-1800;;Ivoti;Av. Bom Jardim;2772;;;;
;claudio@viamarte.com.br;51 35658000;;Nova Hartz;Rua Henrique Hoffmann;3095;;93890-000;;
;compras@shestruturas.com.br;51 3594.3922;;Novo Hamburgo;;;;;;
;compras@engegran.com.br;55 3375-1563 ou 3375-6666;;Panambi;Rua Emil Graser;130;;;;
;bruna@ferramentaspandolfo.com;(51) 3543-1160;;XV de Junho Parobé;;;;95630-000;RS,;
;;51) 3543-1517 contato@metalpar.com.br;;Parobé;Rua da Cascata;90;;95630-000;;
;eduardo@plastcromo.com.br;(51) 3543-1464;;RS-239 6830 - Alexandria, Parobé - RS,;;;;95630-000;RS,;
;vanessa.dias@ecosul.com.br;(53) 2128-4408;;Pelotas;;;;;;
;marco.lima@aniger.com.br;51 21259900;;Campo Bom;R. Armindo Eltz;51;;93700-000;RS,;
;tiago.bexaira@timacagro.com.br; 51 33828700 ;;Av.Carlos Gomes, 1340 | 11º andar | Bairro Auxiliadora Porto Alegre | RS | ;Av. Carlos Gomes;1340;;90480-001;RS;
;anderson.larentis@pandrol.com;51 3373,4300;;AvSevero Dullius 2015 Porto Alegre RS Rio Grande do Sul  Brasil;;;;90200-310;RS;
;;53 32933000;;Rio Grande;Av. Almirante Maximiano Fonseca;1000;;96201-360;RS,;
;mauro.duarte@martinimeat.com.br; (53) 32934658 / 53 3293-4650 ;;Rio Grande;;;;;;
;marcelo.carrasco@termasa.com.br; (53)30368650 ;;Avenida Almirante Maximiliano Fonseca 6361 - Rio Grande RS,;Avenida Almirante Maximiliano Fonseca;6361;;96204-040;RS,;
;juliane@riograndefertilizantes.com.br; 53 32341769 - geral ;;Rio Grande;Av. Almirante Maximiano Fonseca;6360;;;;
;alex.balbela@timacagro.com.br;;;Rio Grande;;;;;;
;karine.martins@refinariariograndense.com.br; (53) 3233-8079 / 32338181 ;;Rio Grande;;;;;;
;fabiana.souza@bunge.com;53 - 32343616;;Rio Grande;Avenida Almirante Maximiano Fonseca;4350;;96204-040;RS,;
;joaquim.perez@bianchinisa.com.br; (53)2126 6000 ;;Rio Grande;;;;96204-040;RS,;
;alondero@cvi.com.br; (55) 3290 - 1500 ramal 3 ;;Agroindustrial Santa Maria;;;;97037-400;RS,;
;compras@iba.ind.br;51 3523.4210 / 51 3523 4199;;RodoviaRS 239, nº 5461, Vila Irma Sapiranga/RS - ;;;;93805-798;RS;
;sulmaq@sulmaq.com;51 3599 3675 - 997396083;;Sapiranga;Rua Presidente Franklin Roosevelt ;484;;;;
;compras@cofrag.com.br;51 3568 2044;;Sapiranga;Rua General Nascimento Vargas;309;;;;
;compras@maredtextil.com.br;51 996269044;;Sapiranga;Rua Borges de Medeiros;966;;93806-054;;
;paulo@italiany.com.br;51 35991566;;Sapiranga;Rua General Daltro Filho;238;;93800-236;;
;compras1@dream.com.br;51 35296490;;Sapiranga;Rua São João;255;;;;
;compras@ninus.com.br;51 3039.5859;;Sapiranga;Rua Duque de Caxias;95;;;;
;;51 997014530 / 997163803;;Sapiranga;;;;;;
;;5135591270;;Sapiranga;Rua Monte Castelo;2651;;;;
;;(51) 3559-1144;;RuaMajor Bento Alves, 3424, Amaral Ribeiro Sapiranga/RS - ;Rua Major Bento Alves;3424;;93821-480;/RS;
;compras@mould.com.br;51 - 35298482;;Rodovia Rs 239 471 - Industrial, Sapiranga - RS,, Brasil;;;;93813-050;RS,;
;;(51) 3546-2000;;Rodovia Rs 239 31 - Rodovia, Sapiranga - RS,;;;;93815-016;RS,;
;compras@nks.com.br;(51) 3034-8700;;Av. 20 de Setembro nº 4747, Sapiranga - RS,;;;;93815-016;RS,;
;lauriano@paqueta.com.br;51-35998800(ramal 9437);;SAPIRANGA;;;;;;
;compras@primmascarpa.com;(51) 3542 2331 / 3541 3812;;RuaOsvaldo Aranha , 1190 / Bairro Empresa – Taquara – RS Cep.:;Rua Osvaldo Aranha ;1190;;95603-640;RS;
;compras@dielat.com.br;(51) 3541-1876;;Taquara;Av. Sebastião Amoretti;3;;;;
;compras@pirisa.com;051 3542.1944 - 051 995901944;;Av. Oscár Martins Rangel 5700 - Picada Francesa, Taquara - RS,;Av. Oscár Martins Rangel;5700;;95600-000;RS,;
;polistick@terra.com.br;(51) 3541-5554;;Av. Fernando Ferrari 2195 - Ronda, Taquara - RS,;Av. Fernando Ferrari;2195;;95600-600;RS,;
;ultraquil@tca.com.br;(51) 3541.7066;;Taquara;Rua Ernesto Alves;2707;;;;
;compras@endutex.com.br;(51) 3546-2000;;RuaFrederico Ritter, 1111 - Sander Três Coroas / RS / Brasil;Rua Frederico Ritter;1111;;95660-000;RS;
;rafael@tramontini.com.br;51 3738-3100 ramal 277;;Venâncio Aires;;;;;;
;rodrigo.tozin@ovd.com.br;51-3358-1077;;Viamão;;;;;;
;luciano.zanelatto@killing.com.br;51 3586.8100;;Novo Hamburgo;;;;93320-428;RS;
;;71 3418.4520;oberd.regis@killing.com.br;Simões Filho;;;;43700-000;BA;
;marion@agrimec.com.br;055 32227710 - 999719057;;Santa Maria;;;;97030-440;;
;compras@elevitta.com.br;54 996564527 / 3376 1602;;RuaOrestes Valandro, 97, Aratiba/RS – Brasil;Rua Orestes Valandro;97;;;/RS;
;decio.ribeiro@fremax.com;47 34616638 / 34616600;;Joinville - SC;Rua Anaburgo;5600;;;;
;marcosserena@irani.com.br;;;VARGEM BONITA;;;;;;
;amauri@bruning.com.br;(55) 3376-9000 ramal 9485;;Panambi;;;;;;
;suprimentos@arquisul.com.br;51 3235.5200;;Av.Jerônimo de Ornelas, 357 Porto Alegre / RS - ;Av. Jerônimo de Ornelas;357;;90040-341;RS;
;ercio.horbach@tramontina.com;54 991159530 / 34618502;;Carlos Barbosa;;;;95185-000;;
;alexandre.scola@sumig.com;(54) 3220 3900;;Caxias do Sul;Av. Ângelo Corsetti;1281;;95042-000;RS;
;waltrick@minusa.com.br;(49) 3226 1000;;Lages - SC ;;;;;;
;compras@astoriapapeis.com.br;(51) 3484.8728;;Av.Antônio Gomes Corrêa 1380 Parque dos Anjos, Gravataí RS  RS;Av. Antônio Gomes Corrêa;1380;;94190-300;RS;
;leandro.souza@sew.com.br;19 2518-8057;;EstradaMunicipal José Rubim, 205 Rodovia Santos Dumont Km 49 Caldeira - Indaiatuba - SP -;Estrada Municipal José Rubim;205;;13347 510;SP;
;antonio.silva@melitta.com.br;51 2101-1100;http://www.celupa.com.br/;Guaíba;Avenida Comendador Ismael Chaves Barcellos;150;;;;
;matheus.malafaia@santher.com.br;(51) 3491-9400;https://www.santher.com.br/;Guaíba;;;;;;
;junioren@airproducts.com.br;(11) 38561600 / (51) 3480-5200;;Guaíba;R. São Geraldo;1675;;;;
;mauricio@jacui.ind.br;(51) 3658-1209;http://www.jacui.ind.br/;Charqueadas;;;;96745-000;;
;compras.sul@brasilata.com.br;(51) 3712-8900 (51) 3712-1539;;Estrela;;;;95880-000;;
;roque@roizi.com.br;(51) 3712-2811;;Estrela;Rua Corredor Particular;40;;95880-000;;
;rh@plastrela.com.br;(51) 3720-1122 (51) 3720-1280;;Estrela;;;;95880-000;;
;jfontella@fitesa.com;51 3489700;;Gravatai;Rua Paul Zivi;80;;94045-430;;
;;(51) 2139-7211;;Guaíba;R. São Geraldo;1680;;92703-470;;
;rs@sulinaoleos.com.br;51 3401-7500;http://www.sulinaoleos.com.br/;Guaíba;Av. das Indústrias;35;;92500-000;;
;josecarlos@ambientaly.com;(51) 3491-9300;;Guaíba;RUA ITAJAÍ;10;;92500-000;;
;manutencao@girandosol.com.br;(51) 3716-9400;;Arroio do Meio;Rua Arthur José Schroeder;780;;95940-000;;
;jeferson.becker@granol.com.br;(51)37226550;;Cachoeira do Sul;;;;;;
;compras@coldbras.com.br;51 3303.2222;;RuaManoel José do Nascimento, 811 Distrito Industrial / Cachoeirinha - RS  ;Rua Manoel José do Nascimento;811;;94930-340;RS;
;paulo.amaral@carraro.com.br;(54) 3455.1212;;Bairro Santo Antão;Avenida Nelson Carraro;2001;;95702-798;/RS;
;cimentoguaiba@terra.com.br;(51) 3345.2972;;RuaSanta Maria, 185 Prédio B – Guaíba/RS  ;Rua Santa Maria;185;;92500-000;/RS;
;rauloliveri@gmail.com;(51) 3480-2100;;Guaíba;Rua Carlo Ventura;150;;;;
;direcao@enzomilano.com.br;51 3507-7070;;IVOTI;;;;;;
;sandro@tomasi.com.br;(54) 3213.8000 |3213.3122;;Caxias do Sul;;;;95080-050;;
;henrique.silva@gerdau.com.br;;;SAPUCAIA DO SUL;;;;;;
;valmir@trapp.com.br;47 3371-0088 / (47) 2107-8800;;Jaraguá do Sul - SC;Av. Pref Waldemar Grubba;4545;;;;
;aburani@caloi.com;11 21197311;;Atibaia - SP;;;;12954-260;;
;voltou;51 - 33741164  / Camila 51 989226550;marco.moraes@cafbrasil.com.br; camila.frederichs@cafbrasil.com.br;Porto Alegre;Av. Ernesto Neugebauer;1985;;90250 140;;
;raphael@dalzochio.ind.br; 54 99972-8793;;ESTRS 020 - KM 98 - 7165 ZONA RURAL SAO FRANCISCO DE PAULA;;;;95400-000;RS;
;alexandre@noeli.com.br;(51) 996736347;;Rodovia, RS118, 2602 - Capão da Cruz, Sapucaia do Sul - RS;;;;;RS-;
;compras@pollibox.com.br;(51) 3587-3502 / W: 35871322;;Bairro Industrial Campo Bom;Rua Carlos Alberto Feiten;100;;93700-000;RS;
;comercial@diplax.com.br;(51) 3067-7575;;Campo Bom;R. Visc. de Mauá;85;;;;
;atendimento@lozar.com.br;(51) 3560 1589;;RuaSão Jacó, 352, Bairro São Jacó - Sapiranga/RS - ;Rua São Jacó;352;;93800-000;/RS;
;compras@deltafrio.com.br;51 3536.1551;;São Sebastião do Cai;;;;;;
;compras2@screw.ind.br;51 3723.3000;;Cachoeira do Sul;;;;;;
;voltou;54 3477 1236;;?EstradaRS 324 - Km 21 - Distrito Industrial Cep: 95.350-000 - Nova Araçá - RS;Estrada RS;324;;;RS;
;antoninho@dlinea.com.br;(51)3443-4666;;AvenidaPresidente Getúlio Vargas nº 10315 Elsa - Distrito Industrial Viamão/RS ;;;;94420-015;/RS;
;alfedital@outlook.com;(51) 3751-1014;;Encantado;Rua Argemiro Pretto;340;;95960-000;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;roberto@dickow.com.br;(55) 3265-1325;;Agudo;;;;96540-000;;
;contabilidade@cooperagudo.com.br; (55) 3265 - 7000 ;;Av. Concórdia 2662 - centro, Agudo - RS,;Av. Concórdia;2662;;96540-000;RS,;
;vagner.leal@caal.com.br;(55) 3421-9200;www.caal.com.br;Alegrete;Rua Venâncio Aires;112;;;;
;franck@fumacensealimentos.com.br; (48) 3434 8888;www.fumacensealimentos.com.br;EstradaBR 290, s/n, Bairro Nova Brasília, Alegrete, RS / Rodovia SC 443, nº 2.244, Bairro Barracão, Morro da Fumaça, Santa Catarina. CEP: 88.830-000;Estrada BR;290;;;RS;
;almoxarifado@coradini.ind.br;(53) 3240-4500;;Bagé;Avenida Santa Tecla;5000;;;;
;;(53) 3242-9011;www.ceolinalimentos.com.br;Bagé;Av. Santa Tecla;2060;;;;
;;(53) 3247-1176;www.impulsoweb.com.br/coradini/;Bagé;;;;;;
;;(53) 3242-7355;www.camal.com.br;Bagé;Rua Marcilio Dias;1642;;;;
;;(53) 3240-4500;www.coradinialimentos.com.br;Bagé;;;;;;
;;(53) 3242-7933;;Bagé;;;;;;
;;(51) 3371-8400;;BARRA DO RIBEIRO;;;;;;
;compras@moraes.com.br; (51) 3723 - 7600 ;;Cachoeira do Sul;;;;96504-050;RS,;
;treichel@treichel.com.br; (51) 3722 - 2383 ;;Cachoeira do Sul;Av. Brasil;2593;;96503-490;RS,;
;;(51) 3722-2469;www.trevisansa.com.br;Cachoeira do Sul;;;;;;
;marcelo.grund@3tentos.com.br;51 995463337 ;;Camaquã;Av. Dorval Ribeiro;701;;;;
;;(51) 3692-9000 / 991271019;;Camaquã;;;;96180-000;;
;ristiano@htnutri.com.br;51 36928800;;Camaquã;;;;;;
;osmar@viviana.com.br;(51) 3671 2059 / 3671 2011;viviana.com.br;Camaquã;Av. José Loureiro da Silva;1297;;;;
;iego.nunes@camil.com.br;(51) 36717300;;BR-116 s/n - São CARLOS, RS,;;;;96180-000;RS,;
;denilson@arrozeirabomjesus.com.br;(51) 2127-0770;;Camaquã;;;;;;
;itamar.bernar@extremosul.com.br;51 21270012;;Camaquã;Estrada BR;116;;;;
;;(51) 3743-1442;;Candelária;;;;;;
;;(53) 981241678 / (53) 981220407;;EstradaCerro da Boneca, SN - BR 392 Km 121 / 1º Distrito | Canguçu - RS  | Caixa Postal: 21;;;;96600-000;RS;
;comercialbergmann@yahoo.com.br;(53) 999944479 (53) 3252-2006;;RS-265/ Posto Branco, 1º Distrito / Canguçu - RS / / Brasil;;;;96600-000;RS;
;compras@rainhabrasil.com.br;53 984180235 / 3275.5053;;Av.Três de Maio, 3342 - Capão do Leão/RS - Brasil;Av. Três de Maio;3342;;;/RS;
;comprasrs@arrozcodil.com.br;(51) 3685-1202;;Capivari do Sul;Av. Telmo Sessim;1061;;95552-000;RS,;
;;(51) 3685-1177;;Capivari do Sul;Av. Adrião Monteiro;1466;;95552-000;RS,;
;;(53) 3243-5649 * 3243-3066;;Dom Pedrito;;;;;;
;;(53) 3243-3066;www.coradinialimentos.com.br;Dom Pedrito;;;;;;
;;(53) 3243-3466;www.coradini.com.br;Dom Pedrito;Rua Sete de Setembro;2900;;;;
;;(53) 3243-1056;www.rcalimentos.com;Dom Pedrito;Rua Serafim dos Anjos Freire;3444;;;;
;;51 3080-2000/ 93262066;voltou;Eldorado do Sul;;;;92990-000;RS,;
;;(51) 3481-3940;http://metapublicidade.com/engenhoam;Eldorado do Sul;;;;;;
;compras2@rampinelli.com.br;48-3463 8700 / 48-999055944;;Forquilhinha/SC;;;;;;
;;(51) 3487-1092;www.extraalimentos.com.br;Glorinha;Rua Avelino Maciel Neto;130;;;;
;;(51) 3487-1036;;Glorinha;Rua Deoclecio Ferrugem;20;;;;
;faturamento@gaiteiroalimentos.com.br;(51) 3488-1732;www.gaiteiroalimentos.com.br;RodRS 118 KM 15 Nº 6880 / Bairro Arco Iris;;;;;RS;
;;(55) 3433-2121;www.camil.com.br;Itaqui;Rua Dr. Afonso Escobar;1193;;;;
;;(55) 3433-7222;;Itaqui;;;;;;
;itapemasa@pitangueira.com.br;(55) 3433-2255;www.pitangueira.com.br;Itaqui;Av. Borges de Medeiros;1463;;;;
;;(55) 3433-2011;www.folettoalimentos.com.br;Itaqui;;;;;;
;;(55) 3433-1899;;Itaqui;;;;;;
;;(55) 3433-1124;www.raroz.com.br;Itaqui;;;;;;
;;(55) 3259-1194;;Mata;Rua Cap. Nicolau Schmidt;200;;;;
;contato@ourofertil.com.br;54 32428300;;Nova Prata;Av. Presidente Vargas;1454;;;;
;;(51) 3479-5066;www.arrozella.ind.br;Nova Santa Rita;;;;;;
;compras@arrozpalmares.com.br;(51) 3668-1166;;Palmares do Sul;;;;95540-000;RS,;
;claudio@arrozceel.com.br;(51) 3734-1344;;Pantano Grande;;;;;;
;silva@polisulalimentos.com.br;53 32833500;;Pelotas;Av. Fernando Osório;5508;;;;
;compras@brejeiro.com.br;(53) 3303-6812 / 3273-6356;;Pelotas;;;;;;
;;53 33095636;;Pelotas;;;;;;
;luiz@arrozeiraperola.com.br;53 32736404;;Pelotas;;;;;;
;eliane.bassi@josapar.com.br;(53) 3284-1000 (53) 3284-1151;;Pelotas;;;;96070-560;;
;luisdiaz@purograo.com;53 - 32816397 / 30257066 ;;Pelotas;Av. Herbert Hadler;1385;;;;
;marcelo@nelsonwendt.com.br;53 32833326 / 981241522;;Pelotas;Av. Leopoldo Broad;101;;96070-370;;
;contato@esbento.com.br;53 3025.3500;;Pelotas;;;;;;
;eletrica@arrozeirapelotas.com.br;53-3273-7488;;Pelotas;Av. Fernando Osório;5552;;96070-000;;
;augusto@arrozeiradaquinta.com.br;( 53) 32391147 / 53 999331987-Mario;;Pelotas;RUA POETISA RIPOLL;182;;;;
;mvpizzol@gmail.com;(53) 3223-3746;;Pelotas;Av. Fernando Osório;2988;;;;
;helioehlert@Outlook.com;(53) 3273-7330;www.ehlertltda.com.br;Pelotas;;;;;;
;;(51) 2131-4455;www.slcalimentos.com.br;Porto Alegre;Av. Borges de Medeiros;2233;;;;
;josimar.souza@camil.com.br;(53) 3237-9119;www.camil.com.br;Rio Grande;;;;;;
;;(51) 3731.2100;;Distrito Industrial;;;;96640-000;RS;
;;(55) 3231-2480;www.coarroz.com.br;Rosário do Sul;Rua Miguel Irion;100;;;;
;pberleze@terra.com.br;(55) 3226-1355;;Santa Maria;;;;;;
;arroz.freitas@gmail.com;(55) 3222.6522;;Santa Maria;;;;;;
;;(55) 3226-1428;;Santa Maria;;;;;;
;alexandre@marzari.com.br;(55) 3301-3301;;Santa Maria;;;;;;
;;(55) 3226-1376;www.favarin.com.br;Santa Maria;Av. Osvaldo Cruz;1044;;;;
;;(53) 3261-1489;;Santa Vitória do Palmar;Estr. da Canoa;63;;;;
;;51 984511365;;Santo Antônio da Patrulha;;;;95500-000;RS,;
;;(51) 3662-1942;www.arrozagro.com.br;Estr.do Morro Grande 4970 - RS 474, Km 01 - Caixa Postal 83;Estr. do Morro Grande;4970;;;RS;
;;(51) 3662-3100;www.demelloalimentos.com.br;Santo Antônio da Patrulha;;;;;;
;;(51) 3955-0926;www.arrozrealengo.com.br;Santo Antônio da Patrulha;Estr. do Morro Grande;3801;;;;
;;(55) 3431-0050;www.albaruska.com.br;São Borja;;;;;;
;;(55) 3431-1802;;São Borja;;;;;;
;;(55) 3431-1840;www.arrozciagro.com.br;São Borja;;;;;;
;;(55) 3431-0300;www.pirahy.ind.br;São Borja;Rua Tristão de Araujo Nobrega;1580;;;;
;;(55) 3232-8500;www.urbano.com.br;São Gabriel;;;;;;
;;(55) 3289-1092;;São João do Polêsine;;;;;;
;manutencao@pomeranoalimentos.coo;53 984525085;;São Lourenço;;;;;;
;;(53) 3251-2266;www.adbalimentos.com.br;São Lourenço do Sul;Estrada Passo dos Baios;1;;;;
;pagliarin@pagliarin.com.br;(55) 3276.1100;;São Pedro do Sul;;;;;;
;;(55) 3276-1313/ Fax: 3276-1313;www.soufelice.com.br/felicealimentos/;São Pedro do Sul;;;;;;
;;(55) 3276-1100;www.pagliarin.com.br;São Pedro do Sul;Rua Jerônimo Gomes;1155;;;;
;eduardo@arrozeira.com.br;(55) 3233-1408;;São Sepé;;;;;;
;compras@agroparr.com.br;(51) 3672-5000;www.agroparr.com.br;Sentinela do Sul;;;;;;
;arrozmaninho@terra.com.br;(51) 3495 - 1159 / (51) 3495 - 1501;www.cereaismaninho.com.br;Sertão Santana;;;;;;
;;(51) 3482-1216;;Sertão Santana;;;;;;
;diegokoller@rosina.ind.br;(51) 3495-1252;;Sertão Santana;;;;;;
;compras@bemestaralimentos.ind.br;(51) 4063 - 9018;www.bemestaralimentos.ind.br;Tapes;;;;;;
;;(55) 3413-4044;www.camil.com.br;Uruguaiana;;;;;;
;;(55) 3413-1241;www.grupoceolin.com.br;Uruguaiana;Avenida Senador Silveira Martins;901;;;;
;clodoaldo.vigao@guacira.com.br;(55) 3413-2176;www.guacira.com.br;Uruguaiana;Rua Érico Veríssimo;1023;;;;
;;(55) 3412-3399;;Uruguaiana;;;;;;
;sergio@pateko.com.br;(55) 2102-1329;www.saojoaoalimentos.com;Uruguaiana;;;;;;
;cristiano.borges@zaelisul.com.br;(55) 3413-4361;www.zaeli.com.br;Uruguaiana;;;;;;
;leandro@engenhoviamonense.com.br;(51) 3485.1202;;Viamão;;;;;;
;;(51) 34851301;;Viamão;;;;;;
;;(51) 3485-1131;www.fiuzaecirimbelli.com.br;Viamão;;;;;;
;ala@deutschips.com.br; 54 3244-2176 | 54 99978-7615;;São Francisco de Paula;;;;95400 000;RS;
;compras.frizzo@hotmail.com;(54) 3227-2322;;RodRS 504 KM 02, Linha Botafogo Planalto – RS;;;;98470-000;RS;
;miguel@oderich.com.br;(51) 3635-1609;;São Sebastião do Caí;Av. Osvaldo Aranha;1118;;95760-000;RS,;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;andreia.grando@mdiasbranco.com.br; (54) 2105 - 7300 ;;RuaEspírito Santo, 440, Santa Rita, Bento Gonçalves/RS – CEP: 95.700-656;Rua Espírito Santo;440;;;/RS;
;rosane.frumi@vinicolaaurora.com.br; (54) 2102 - 2000 (54) 2102-2001 ;;Bento Gonçalves - RS;;;;;;
;jean.poletto@salton.com.br;(54) 2105 - 1000 (54) 2105-1001;;Bento Gonçalves - RS;;;;;;
;wagner.dias@miolo.com.br;(54) 2102 - 1500;;Bento Gonçalves;;;;;;
;financeiro@divinut.com.br; (51) 3722 - 8002 (51) 3723-6003 ;;Cachoeira do Sul;;;;96503-260;RS,;
;alessandra.nosvitz@tischler.com.br;(51) 3722 4433;;Cachoeira do Sul - RS;Rua Julio de Castilhos;413;;;;
;verton.tolotti@piracanjuba.com.br;(54) 3329-9400;;RuaEmpresário Agnello Senger, SN Carazinho/RS – CEP 99.500-000;;;;;/RS;
;driana.kuhn@piracanjuba.com.br;;;Goiania - GO;;;;;;
;adson.souza@piracanjuba.com.br;(33) 3213-3700;;RodoviaBR 259, KM 152, Zona Rural / Governador Valadares/MG - CEP 35.104-000;;;;;/MG;
;compras.adm@superimec.com.br;(51) 3714 - 8100;;Lajeado - RS;;;;;;
;cristiano@prass.com.br;(51) 37142747;;Lajeado - RS;;;;;;
;leandros@italianinhoalimentos.com.br;(51) 3714.8170;;Rod.RS 130.3880 - Bairro Moinhos - Lajeado/RS - ;;;;95900-000;RS;
;uso.consumo@marilan.com;(14) 2105 – 6000;;Marília - SP;Av. José de Grande;518;;;;
;logistica@mosmannalimentos.com.br;(51) 3543-8500;;Funil Parobé;;;;95630-000;RS,;
;engobras@zaffarinet.com.br;(54) 33113079;;Passo Fundo;Rua General Osório;1426;;99010-140;RS;
