;cidade;descricao;contato;telefone;endereco;email;site
;Canoas;Comprador sênior na Dana Indústrias Ltda;Desirée de Souza Carvalho;;;desireecpoa@gmail.com;
;Canoas;Compradora na SLC Agrícola S/A;Tuani Gomes;;;tuanigomes@yahoo.com.br;
;Capela de Santana;Essencis Soluções Ambientais; Ederson Vargas ;(51) 3500-3400;RS-240, 291, Capela de Santana - RS, 95745-000;evargas@essencis.com.br;
;Caxias do Sul; Marcopolo SA ; Silvano Tondello ; (54) 2101 - 4155 ;;silvano.tondello@marcopolo.com.br;
;Curitiba;Essencis Soluções Ambientais; Regiane ;(41) 3614-3050;R. dos Palmenses, 620 - São Miguel, Curitiba - PR, 81452-010;rgsilva@essencis.com.br;
;Dois Irmãos;Herval Móveis e Colchões;Jair Hittler  / Marcio;(51) 3564 8300;Rodovia BR 116, Km 223,5 - Dois Irmãos/RS;"marcio.nonenmacher@taqi.com.br; jair.hittler@taqi.com.br";
;Dois Irmãos;Mahindra do Brasil;Compras Sabrina Cornelli / Eng. Rodrigo Iplinski;(51) 3191-2020;Av. Dez de Setembro, 1097 - União, Dois Irmãos - RS, 93950-000;"cornelli.sabrina@mahindrabrazil.com; iplinski.rodrigo@mahindrabrazil.com";
;Erechim;COMIL ÔNIBUS S.A.;Glaucia / ANDRE LUIS PETRY;54 3520-8700;Rua Alberto Parenti, 1382 - CEP 99706-404 Erechim – Rio Grande do Sul - Brasil;"glaucia@comilonibus.com.br; ANDRE@COMILONIBUS.COM.BR";
;Franco da Rocha - SP;Essencis Soluções Ambientais; Priscila ;(11) 4442-7300;Acesso pela Rodovia dos Bandeirantes, Km 33, s/n - Caieiras, Franco da Rocha - SP, 07803-970;suprimentos.cai@essencis.com.br;
;Garibaldi;Bortolini Mobiliário Corporativo;Camila;(54) 3433-2500;RSC-453, Rota do Sol, Km 90, Z. Industrial, Caixa Postal 57 95720000 Garibaldi, RS;suprimentos@bortolini.com.br;
;GUAÍBA;THYSSENKRUPP ELEVADORES AS;RODRIGO SEVERO AVILA / IASMIN SANTOS iasmin.santos@thyssenkrupp.com;;R STA MARIA - 1000;rodrigo.avila@thyssenkrupp.com;
;Igrejinha;Piccadilly (Fábrica);Carlos Cristiano Wicienski;(51) 3549-9600;R. Gen. Ernesto Dorneles, 577 - Centro, Igrejinha - RS, 95650-000;ccwicienski@piccadilly.com.br;
;Igrejinha;Faccine Indústria e Comércio de Calçados;Elisandra;(51) 3545-1396;Rua Taquara, 166 - Figueira, Igrejinha - RS;comprasfaccine@gmail.com;
;Igrejinha;Indústria de Calçados Dian Patris Ltda;Lucas;51 3545-1821;Av Ildo Menegheti, 860 / Igrejinha - RS - Brasil;compras@andrina.com.br;
;Igrejinha;Usaflex Indústria e Comércio S/A;Gerente manutenção - Fernando / manutenção Gerson;(51) 3549-8100;R. Mal. Deodoro da Fonseca, 530 - Casa de Pedra, Igrejinha - RS, 95650-000;"fernando@usaflex.com.br; gerson@usaflex.com.br";
;Igrejinha;Hunssemaq Indústria e Comércio de Máquinas;Diego;(51) 3545-1200;R. Igrejinha, 105 - Figueira, Igrejinha - RS, 95650-000;hunssemaq@uol.com.br;
;Igrejinha;Injetados Paranhana LTDA.;william;51 3545.2465;Rua Getúlio Vargas, 348 - Centro - Igrejinha/RS - CEP 95650 000;compras@injepar.com.br;
;Igrejinha;Calçados Tabita;Manutenção - Valdirnei / Compras Rafael;(51) 3545-1600;R. Benjamin Jung, 195 - Viaduto, Igrejinha - RS, 95650-000;"oficina@tabita.com.br; rafael@tabita.com.br";
;Igrejinha;Carmína calçados;Laercio;(51) 3545-3117;R. Anselmo Waldemar Linden - 15 De Novembro, Igrejinha - RS, 95650-000;custos@carminacalcados.com.br;
;Igrejinha;Agro Latina;Roberta;51 3549 9400;Estr. Picada Francesa, 950 - Casa de Pedra, Igrejinha - RS, 95650-000;compras@agrolatina.com.br;
;Ivoti;Grupo Fröhlich, a Fritz & Frida;Eduardo Hub;(51) 2123-1800;Av. Bom Jardim, 2772, Bairro Cidade Nova - Ivoti / RS;eduardo@frohlich.com.br;
;Nova Hartz;Calçados Marte Ltda; Claudio ;51 35658000;Rua Henrique Hoffmann, 3095 - Bairro Imigrante - CEP: 93890-000;claudio@viamarte.com.br;
;Novo Hamburgo;SH Estruturas Metálicas;Compras - Carla / Diretor Vinicius;51 3594.3922;Rod. BR 116, 8195, Novo Hamburgo;"compras@shestruturas.com.br; vinicius@shestruturas.com.br";
;Panambi;Empresa Engegran Indústria e Montagens LTDA;Geraldo;55 3375-1563 ou 3375-6666;Rua Emil Graser, 130;compras@engegran.com.br;
;Parobé;Pandolfo Indústria de Ferramentas S/A;Bruna;(51) 3543-1160;Rodovia ERS239 Nº 10265 - KM 48 Bairro - XV de Junho, Parobé - RS, 95630-000;bruna@ferramentaspandolfo.com;
;Parobé;Metalpar Indústria Metalúrgica Ltda.;Jose Augusto sem interesse;51) 3543-1517 contato@metalpar.com.br; Rua da Cascata, 90 · Centro · CEP 95630-000 · Parobé/RS;;
;Parobé;Plastcromo Metalizações a Vácuo;Eduardo;(51) 3543-1464;RS-239, 6830 - Alexandria, Parobé - RS, 95630-000;eduardo@plastcromo.com.br;
;Pelotas;Ecosul / Pelotas;Vanessa;(53) 2128-4408;;vanessa.dias@ecosul.com.br;
;Porto Alegre;Aniger;Marco Lima;51 21259900;R. Armindo Eltz, 51 - P Santo Antonio, Campo Bom - RS, 93700-000;marco.lima@aniger.com.br;
;Porto Alegre;TIMAC Agro; Tiago Bexaira -  ; 51 33828700 ;Av. Carlos Gomes, 1340 | 11º andar | Bairro Auxiliadora Porto Alegre | RS | CEP 90480-001; tiago.bexaira@timacagro.com.br ;
;Porto Alegre;Pandrol;Anderson Larentis;51 3373,4300;Av Severo Dullius 2015 Porto Alegre RS Rio Grande do Sul CEP 90200-310 Brasil;anderson.larentis@pandrol.com;
;Rio Grande;Granel Química - ODFJELL TERMINALS;Diego;53 32933000;Av. Almirante Maximiano Fonseca, 1000 - Zona POrtuária, Rio Grande - RS, 96201-360;;
;Rio Grande;Martini Meat SA - 5282; Mauro Duarte ; (53) 32934658 / 53 3293-4650 ;Corredor do Bolacha, 5555 Bolacha - Setor D; mauro.duarte@martinimeat.com.br ;
;Rio Grande;Tergrasa - Terminal Graneleiro S/A / Terminal Marítimo Luiz Fogliatto S/A - Termasa - 901; Rogério Moraes rogerio.moraes@termasa.com.br / Marcelo Carrasco  ; (53)30368650 ;Avenida Almirante Maximiliano Fonseca 6361 - Rio Grande, RS, 96204-040; marcelo.carrasco@termasa.com.br  ;
;Rio Grande;Rio Grande Fertilizantes; Juliane - Compras / Rogério - Manutenção ; 53 32341769 - geral ;Av. Almirante Maximiano Fonseca, 6360 | Distrito Industrial - Rio Grande;" juliane@riograndefertilizantes.com.br; rogerio@riograndefertilizantes.com.br ";
;Rio Grande;TIMAC Agro; Alex Balbela- compras / Leandro Scaglioni Manutenção ;;;" alex.balbela@timacagro.com.br; leandro.scaglioni@timacagro.com.br ";
;Rio Grande;REFINARIA RIOGRANDENSE - 6016; Karine Martins - Compras / Otavio Garibalde - Manutenção ; (53) 3233-8079 / 32338181 ;;" karine.martins@refinariariograndense.com.br; otaviog@refinariariograndense.com.br ";
;Rio Grande;Bunge Alimentos; Fabiana Souza - Compras - (Rubiari (53) 999450248 / Emerson(53) 32343671) - Manutenção ;53 - 32343616;Avenida Almirante Maximiano Fonseca, 4350 - Industrial Tamandaré, Rio Grande - RS, 96204-040;"fabiana.souza@bunge.com; emerson.resing@bunge.com";
;Rio Grande;Bianchini S/A. Indústria, Comércio e Agricultura; Compras - Joaquim Perez / Manutenção - William ; (53)2126 6000 ;Avenida Almirante Maximiano Fonseca,  - Industrial Tamandaré, Rio Grande - RS, 96204-040;"joaquim.perez@bianchinisa.com.br; pcm.rg@bianchinisa.com.br";
;Santa Maria;CVI Refrigeranes Ltda; Misael Leal de Brites mbrites@cvi.com.br/ Alcione Londero / Hermes ; (55) 3290 - 1500 ramal 3 ;BR-287 - Agroindustrial, Santa Maria - RS, 97037-400;" alondero@cvi.com.br; hgoncalves@cvi.com.br ";
;Sapiranga;IBA Equipamentos Galvânicos;Evelyn;51 3523.4210 / 51 3523 4199;Rodovia RS 239, nº 5461, Vila Irma Sapiranga/RS - CEP 93805-798;compras@iba.ind.br;
;Sapiranga;SULMAQ INDÚSTRIA METALÚRGICA LTDA;Werner;51 3599 3675 - 997396083;Rua Presidente Franklin Roosevelt , 484 - Sapiranga/RS;sulmaq@sulmaq.com;
;Sapiranga;Grupo Cofrag;;51 3568 2044;Rua General Nascimento Vargas, 309, São Luis, Sapiranga/RS;compras@cofrag.com.br;
;Sapiranga;Mared Textil;Carlos R. Schmitz;51 996269044;Rua Borges de Medeiros 966 B - Santa Fé - 93806-054;compras@maredtextil.com.br;
;Sapiranga;Italiany;Paulo;51 35991566;Rua General Daltro Filho, 238 93800-236;paulo@italiany.com.br;
;Sapiranga;Dream Fitness;Cleber / Alexandre;51 35296490;Rua São João, 255 ;compras1@dream.com.br;
;Sapiranga;Ninus (omafel Ind. Embal. Plast. Ltda);Vinicius;51 3039.5859; Rua Duque de Caxias, 95 – Centro – Sapiranga;compras@ninus.com.br;
;Sapiranga;CD - Lojas Quero-Quero; Gerente Eduardo ;51 997014530 / 997163803;;;
;Sapiranga;Factorshoes; Evandro - financeiro@factorsoes.com.br ;5135591270;Rua Monte Castelo, 2651 - Bairro São Luiz;;
;Sapiranga;Calcados Barbosa; Valdeci - 997265791 ;(51) 3559-1144;Rua Major Bento Alves, 3424, Amaral Ribeiro Sapiranga/RS - CEP 93821-480;;
;Sapiranga;Mould Indústria de Matrizes Ltda; Geraldo ;51 - 35298482;Rodovia Rs 239, 471 - Industrial, Sapiranga - RS, 93813-050, Brasil;compras@mould.com.br;
;Sapiranga;Endutex Brasil 2 - Fast Line; Manutenção Silvano - 51 995155348 ;(51) 3546-2000;Rodovia Rs 239, 31 - Rodovia, Sapiranga - RS, 93815-016;;
;Sapiranga;NKS | Ötzi Vulcanizados; compras Jane ;(51) 3034-8700;Av. 20 de Setembro, nº 4747, Sapiranga - RS, 93815-016;compras@nks.com.br;
;SAPIRANGA;COPYRIGHT PAQUETÁ;Lauriano;51-35998800(ramal 9437);"AVENIDA 20 DE SETEMBRO, Nº 4411 – BAIRRO SÃO JACÓ
SAPIRANGA - RS";lauriano@paqueta.com.br;
;Taquara;Primma Scarpa;Clovis;(51) 3542 2331 / 3541 3812;Rua Osvaldo Aranha , 1190 / Bairro Empresa – Taquara – RS Cep.: 95603-640;compras@primmascarpa.com;
;Taquara;Dielat | Indústria e Comércio de Laticínios LTDA;Joselaine;(51) 3541-1876;Av. Sebastião Amoretti, 3.466 - Bairro Empresa CEP: 195.603-302 | Taquara / RS;compras@dielat.com.br;
;Taquara;Pirisa Piretro Industrial Ltda;Compras - Cleber / Industria Flavio;051 3542.1944 - 051 995901944;Av. Oscár Martins Rangel, 5700 - Picada Francesa, Taquara - RS, 95600-000;"compras@pirisa.com; industrial@pirisa.com";
;Taquara;Polistick Indústria Plásticos Ltda;Carolina;(51) 3541-5554;Av. Fernando Ferrari, 2195 - Ronda, Taquara - RS, 95600-600;polistick@terra.com.br;
;Taquara;Ultraquil Química Industrial LTDA;Giovane Silva;(51) 3541.7066;Rua Ernesto Alves, 2707 - Taquara - RS;ultraquil@tca.com.br;
;Três Coroas;Endutex Brasil Sede; Ramona / Paulo ;(51) 3546-2000;Rua Frederico Ritter, 1111 - Sander Três Coroas / RS / Brasil 95660-000;compras@endutex.com.br;
;Venâncio Aires;Tramontini;Rafael / Ana;51 3738-3100 ramal 277;;"rafael@tramontini.com.br; ana@tramontini.com.br";
;Viamão;A FERRAMENTAS GERAIS;Rodrigo Tozin;51-3358-1077;RODOVIA RS118/9393 PAVILHÃO;rodrigo.tozin@ovd.com.br;
;Novo Hamburgo;Killing - Matriz;Luciano Zanelatto;51 3586.8100;Av. 1° de Março, 3430 Novo Hamburgo - RS - CEP 93320-428;luciano.zanelatto@killing.com.br;
;Simões Filho - BA;Killing - Unidade BA;Oberd Regis;71 3418.4520;"Via Urbana, 1807
Simões Filho - BA - 43700-000";;oberd.regis@killing.com.br
;Santa Maria;Agrimec - Agro Industrial e Mecânica Ltda;Odilo Pedro Marion;055 32227710 - 999719057;Av. Pedro Cezar Saccol, s/n DI CEP 97030-440;marion@agrimec.com.br;
;Aratiba - RS;Elevittá Elevadores Acessibilidade Inclusiva;Amanda Cristina Klein;54 996564527 / 3376 1602;Rua Orestes Valandro, 97, Aratiba/RS – Brasil;compras@elevitta.com.br;
;Joinville - SC;Fremax;Decio Rosano Ribeiro;47 34616638 / 34616600;Rua Anaburgo, 5600;decio.ribeiro@fremax.com;
;VARGEM BONITA;CELULOSE IRANI S/A; MARCOS SERENA / Alvaro José Salvador;;VILA CAMPINA DA ALEGRIA, BR 157 KM 57 - SN;"marcosserena@irani.com.br; alvarosalvador@irani.com.br";
;Panambi;Bruning Tecnometal;Amauri Estefani da Silva;(55) 3376-9000 ramal 9485;Rua 25 de Julho, 2305, Panambi, Rio Grande do Sul, Brasil;amauri@bruning.com.br;
;Porto Alegre;Arquisul;Silvana;51 3235.5200;Av. Jerônimo de Ornelas, 357 Porto Alegre / RS - Cep: 90040-341;"suprimentos@arquisul.com.br; arquisul@arquisul.com.br ";
;Carlos Barbosa;Tramontina Muti S.A;Ércio Horbach;54 991159530 / 34618502;Rod. BR 470 KM 230 CEP 95185-000;ercio.horbach@tramontina.com;
;Caxias do Sul - RS;Sumig Brasil;Alexandre Scola;(54) 3220 3900;"Av. Ângelo Corsetti, 1281 
Caxias do Sul - RS | 95042-000";alexandre.scola@sumig.com;
;Lages - SC ;Minusa;Jean Waltrick;(49) 3226 1000;BR 116 km 246, DI CEP 88517900 ;jean_waltrick@minusa.com.br;
;Gravataí;ASTÓRIA PAPÉIS LDTA;Sérgio Ribeiro;(51) 3484.8728;Av. Antônio Gomes Corrêa 1380 Parque dos Anjos, Gravataí RS CEP 94190-300 RS;compras@astoriapapeis.com.br;
;Indaiatuba - SP;SEW-EURODRIVE BRASIL LTDA.;Leandro Souza;19 2518-8057;Estrada Municipal José Rubim, 205 Rodovia Santos Dumont Km 49 Caldeira - Indaiatuba - SP - 13347 510;leandro.souza@sew.com.br;
;Guaíba;Celupa;Cassia Giroto cassia.girotto@melitta.com.br (1127661206) / Antonio Silva / Jose Pires;51 2101-1100;Avenida Comendador Ismael Chaves Barcellos, 150 ;"antonio.silva@melitta.com.br; jose.pires@melitta.com.br";http://www.celupa.com.br/
;Guaíba;Santher Fabrica de Papel Santa Therezinha S/a;Matheus Malafaia;(51) 3491-9400;Estrada Geral Guaíba-Barra do Ribeiro, 4500 Passo Fundo;matheus.malafaia@santher.com.br;https://www.santher.com.br/
;Guaíba;Air Products - Gases Industriais;Junior;(11) 38561600 / (51) 3480-5200;R. São Geraldo, 1675 - Alvorada;junioren@airproducts.com.br;
;Charqueadas;Ind. Equipamentos Industriais Jacuí;Mauricio - 995111820;(51) 3658-1209;Estrada RS401, 1999 - Distrito Industrial, 96745-000;mauricio@jacui.ind.br;http://www.jacui.ind.br/
;Estrela;BRASILATA S/A EMBALAGENS METÁLICAS;Roberta;(51) 3712-8900 (51) 3712-1539;Rodovia Br 386, Km 350, CP 10 / 95880-000;compras.sul@brasilata.com.br;
;Estrela;CALÇADOS ROIZI LTDA;Roque;(51) 3712-2811;Rua Corredor Particular, 40 / 95880-000;"roque@roizi.com.br; roizi@roizi.com.br";
;Estrela;PLASTRELA EMBALAGENS FLEXÍVEIS LTDA;Fred;(51) 3720-1122 (51) 3720-1280;Rod. BR 386 KM 352 / 95880-000 / Pinheiros;rh@plastrela.com.br;
;Gravatai;Fitesa ;Janine;51 3489700;Rua Paul Zivi, 80 - Distrito Industrial / 94045-430;jfontella@fitesa.com;
;Guaíba;CMPC;Leandro Aleluia - leandro.aleluia@cmpcrs.com.br;(51) 2139-7211;R. São Geraldo, 1680 - Ermo,  92703-470;;
;Guaíba;Sulina Oleos Vegetais;Claudia;51 3401-7500;Av. das Indústrias, 35 / Bairro São Francisco / 92500-000;adm3.rs@sulinaoleos.com.br;http://www.sulinaoleos.com.br/
;Guaíba;Ambientaly;Jose Carlos;(51) 3491-9300;RUA ITAJAÍ, 10 – BAIRRO SÃO FRANCISCO / CEP 92500-000;josecarlos@ambientaly.com;
;Arroio do Meio;GIRANDO SOL;Delmirio;(51) 3716-9400;Rua Arthur José Schroeder, 780 Bairro São Caetano Caixa Postal 08 / CEP 95940-000;manutencao@girandosol.com.br;
;Cachoeira do Sul;Granol Industria Comercio e Exportação;Jeferson Becker;(51)37226550;Estrada Volta da Charqueada;jeferson.becker@granol.com.br;
;Cachoeirinha;COLDBRAS AS;Rodrigo ;51 3303.2222;Rua Manoel José do Nascimento, 811 Distrito Industrial / Cachoeirinha - RS Cep 94930-340 ;compras@coldbras.com.br;
;Bento Gonçalves;MÓVEIS CARRARO LTDA;Paulo Amaral;(54) 3455.1212;Avenida Nelson Carraro, 2001, Bairro Santo Antão - CEP 95702-798 - Bento Gonçalves/RS ;paulo.amaral@carraro.com.br;
;Guaíba;Quimiflex;Josiane;(51) 3345.2972;Rua Santa Maria, 185 Prédio B – Guaíba/RS  CEP: 92500-000;cimentoguaiba@terra.com.br;
;Guaíba;Lanobrasil Indústria e Comércio de Produtos Têxteis LTDA;Raul Oliveri;(51) 3480-2100;Rua Carlo Ventura, 150 Loteamento Engenho;rauloliveri@gmail.com;
;IVOTI;ENZO MILANO INDUSTRIA E COMERCIO DE ARTIG;Jaqueline;51 3507-7070;AV BOM JARDIM, 1601;direcao@enzomilano.com.br;
;Caxias do Sul;Tomasi;Sandro;(54) 3213.8000 |3213.3122;Rodovia BR 116, Km 153,2 - nº 22.581 Bairro São Leopoldo | Caixa Postal 322 CEP 95080-050 | Caxias do Sul - RS;sandro@tomasi.com.br;
;SAPUCAIA DO SUL;GERDAU RIOGRANDENSE;HENRIQUE TEIXEIRA DA SILVA - CLEITON LARENTIS;;AV BORGES DE MEDEIROS - 650;"henrique.silva@gerdau.com.br; cleiton.larentis@gerdau.com.br";
;Jaraguá do Sul - SC;Metalúrgica Trapp Ltda;Valmir Mendes;47 3371-0088 / (47) 2107-8800;Av. Pref Waldemar Grubba, 4545 - Cx. Postal 106 - Jaraguá do Sul - SC;valmir@trapp.com.br;
;Atibaia - SP;Caloi;Augusto Burani;11 21197311;Rodv. Dom Pedro I Km 87 Condominio Empresarial Barão de Mauá 12954-260 ;aburani@caloi.com;
;Porto Alegre;CAF Brasil;Marco Moraes - Comprador - Camila M. Friederichs - Técnica de Planejamento de Manutenção;51 - 33741164  / Camila 51 989226550;Av. Ernesto Neugebauer, 1985 - 90250 140;voltou;"marco.moraes@cafbrasil.com.br; camila.frederichs@cafbrasil.com.br"
;São Francisco de Paula;DALZOCHIO INDUSTRIA DE PAPEIS LTDA ;Raphael; 54 99972-8793;EST RS 020 - KM 98 - 7165 95400-000 ZONA RURAL SAO FRANCISCO DE PAULA;raphael@dalzochio.ind.br;
;Sapucia do Sul;Noeli Madeiras ;Alexandre;(51) 996736347;Rodovia, RS-118, 2602 - Capão da Cruz, Sapucaia do Sul - RS;alexandre@noeli.com.br;
;Campo Bom;Polliboxsul Indústria de Adesivos;Almiro / Ana ;(51) 3587-3502 / W: 35871322;Rua Carlos Alberto Feiten, 100 - Bairro Industrial Campo Bom - RS - Brasil - CEP 93700-000;"compras@pollibox.com.br; compras1@pollibox.com.br";
;Campo Bom;Diplax Indústria de Plásticos;Viviane;(51) 3067-7575;R. Visc. de Mauá, 85 - Centro, Campo Bom - RS;comercial@diplax.com.br;
;Sapiranga;Metalúrgica Lozar;Ketlin;(51) 3560 1589;Rua São Jacó, 352, Bairro São Jacó - Sapiranga/RS - CEP 93800-000;atendimento@lozar.com.br;
;São Sebastião do Cai;Delta Frio;Deivis - (51)9 95557683 - STANLEY 9994-3644;51 3536.1551;Rodovia RS122 Km 11 Bairro Conceição São Sebastião do Cai – RS;compras@deltafrio.com.br;
;Cachoeira do Sul;SCREW Indústria Metalmecânica EIRELI;Mariana;51 3723.3000;Av Brasil, 2360;compras2@screw.ind.br;
;Nova Araçá;Matrezan Indústria de Móveis Ltda;Marcos marco@matrezan.com.br;54 3477 1236;?Estrada RS 324 - Km 21 - Distrito Industrial Cep: 95.350-000 - Nova Araçá - RS;voltou;
;Viamão;D´LINEA;Antoninho;(51)3443-4666;Avenida Presidente Getúlio Vargas nº 10315 Elsa - Distrito Industrial Viamão/RS CEP: 94420-015;antoninho@dlinea.com.br;
;Encantado;ALFRS Indústria de Móveis Hospitalares;Marta ;(51) 3751-1014;Rua Argemiro Pretto, 340 / Lajeadinho Encantado - Rio Grande do Sul 95960-000;alfedital@outlook.com;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Engenhos / Arrozeiras;Agudo;DICKOW & CIA LTDA;Beto / Douglas  douglas@dickow.com.br;(55) 3265-1325;Rodovia RSC 287, KM 187, s/n - CP 41 / 96540-000;"roberto@dickow.com.br;";
;Agudo;Cooperagudo - Cooperativa Agricola Mista Agudo Ltda; Jaqueline ; (55) 3265 - 7000 ;Av. Concórdia, 2662 - centro, Agudo - RS, 96540-000; contabilidade@cooperagudo.com.br ;
;Alegrete;COOP. AGROINDUSTRIAL ALEGRETE LTDA;Vagner Leal;(55) 3421-9200;Rua Venâncio Aires, 112;vagner.leal@caal.com.br;www.caal.com.br
;Morro da Fumaça;FUMACENSE ALIMENTOS LTDA / RisoVita;Franck; (48) 3434 8888;Estrada BR 290, s/n, Bairro Nova Brasília, Alegrete, RS / Rodovia SC 443, nº 2.244, Bairro Barracão, Morro da Fumaça, Santa Catarina. CEP: 88.830-000;franck@fumacensealimentos.com.br;www.fumacensealimentos.com.br
;Bagé;CORADINI ALIMENTOS BAGÉ;Felipe;(53) 3240-4500;Avenida Santa Tecla, 5000;almoxarifado@coradini.ind.br;
;Bagé;CEOLIN & CIA LTDA;arroz@ceolin.com.br;(53) 3242-9011;Av. Santa Tecla, 2060 - Bairro Industrial;;www.ceolinalimentos.com.br
;Bagé;CEREALISTA CORADINI LTDA;contato@cerealistacoradini.com.br;(53) 3247-1176;Caixa Postal, 32;;www.impulsoweb.com.br/coradini/
;Bagé;COOP. AGRÍCOLA MISTA ACEGUÁ LTDA;camal@camal.com.br;(53) 3242-7355;Rua Marcilio Dias, 1642;;www.camal.com.br
;Bagé;CORADINI ALIMENTOS LTDA;elio@coradini.ind.br;(53) 3240-4500;Av Santa Tecla, 5000 - Caixa Postal, 450;;www.coradinialimentos.com.br
;Bagé;PILLON IND. E COM. DE ARROZ LTDA.;pillon@alternet.com.br;(53) 3242-7933;Av Santa Tecla 2650 - Caixa Postal Nº 466;;
